"Annual Rate of Population Increase by Sex, Province or County,"
" "," ","Population (Number)",200442,141823,126482,114969,102748,86206,74611,71455,65131,61289,57215,55345,52064,47088,45732,46242,50376,51192,52379,51293,51313,52593,55997,60483
" "," ","Population Change since previous Census (Number)",..,-58619,-15341,-11513,-12221,-16542,-11595,-3156,-6324,-3842,-4074,-1870,-3281,-4976,-1356,510,4134,816,1187,-1086,20,1280,3404,4486
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-34.0,-11.4,-9.5,-11.2,-17.4,-14.3,-4.3,-6.2,-6.1,-6.9,-6.6,-12.1,-19.9,-5.8,2.2,10.8,8.1,4.6,-4.2,0.1,4.1,15.8,15.5
"Male"
" ","State"
" "," ","Population (Number)",3222485,2494478,2169042,1992468,1912438,1728601,1610085,1589509,1506889,1520454,1494877,1506597,1462928,1416549,1449032,1495760,1693272,1729354,1769690,1753418,1800232,1946164,2121171,2272699
" "," ","Population Change since previous Census (Number)",..,-728007,-325436,-176574,-80030,-183837,-118516,-20576,-82620,13565,-25577,11720,-43669,-46379,32483,46728,197512,36082,40336,-16272,46814,145932,175007,151528
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.3,-13.9,-8.5,-4.1,-10.1,-7.1,-1.3,-3.6,0.9,-1.7,1.6,-5.9,-6.4,4.5,6.4,15.6,10.6,4.6,-1.8,5.3,13.1,21.8,13.9
" ","Leinster"
" "," ","Population (Number)",963747,813537,715005,655114,630038,587847,571809,582967,573900,611279,630982,664008,658453,651908,694248,737460,862509,884666,913736,913849,944669,1038015,1141320,1233352
" "," ","Population Change since previous Census (Number)",..,-150210,-98532,-59891,-25076,-42191,-16038,11158,-9067,37379,19703,33026,-5555,-6545,42340,43212,125049,22157,29070,113,30820,93346,103305,92032
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-16.8,-12.8,-8.7,-3.9,-6.9,-2.8,1.9,-1.0,6.3,3.2,10.3,-1.7,-2.0,12.7,12.1,19.8,12.8,6.5,0.0,6.7,15.8,24.0,15.6
" ","Carlow"
" "," ","Population (Number)",42428,33016,28139,25464,23078,20552,19009,18481,17802,18066,17702,17848,17666,17360,17320,17502,19743,20195,20816,20785,21086,23403,25611,27431
" "," ","Population Change since previous Census (Number)",..,-9412,-4877,-2675,-2386,-2526,-1543,-528,-679,264,-364,146,-182,-306,-40,182,2241,452,621,-31,301,2317,2208,1820
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-24.8,-15.9,-9.9,-9.8,-11.5,-7.8,-2.8,-2.5,1.5,-2.0,1.6,-2.0,-3.5,-0.5,2.1,15.2,11.4,6.1,-0.3,2.9,17.5,22.8,13.8
" ","Dublin"
" "," ","Population (Number)",170930,187286,191435,188108,197740,197409,211786,226364,238995,277098,292205,326126,329627,335004,375692,406008,473104,482342,492279,492432,508966,544075,582557,619902
" "," ","Population Change since previous Census (Number)",..,16356,4149,-3327,9632,-331,14377,14578,12631,38103,15107,33921,3501,5377,40688,30316,67096,9238,9937,153,16534,35109,38482,37345
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,9.2,2.2,-1.8,5.0,-0.2,7.1,6.7,3.6,14.9,5.3,22.2,2.1,3.2,23.2,15.6,19.3,9.7,4.1,0.1,6.6,11.2,17.2,12.5
" ","Kildare"
" "," ","Population (Number)",58030,48528,48960,44946,40701,38407,34703,37684,31987,31956,36057,36364,35069,34068,34829,37279,50666,53967,59542,62207,68007,82735,94190,104658
" "," ","Population Change since previous Census (Number)",..,-9502,432,-4014,-4245,-2294,-3704,2981,-5697,-31,4101,307,-1295,-1001,761,2450,13387,3301,5575,2665,5800,14728,11455,10468
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.7,0.9,-8.5,-9.9,-5.8,-10.1,8.3,-10.9,-0.1,12.1,1.7,-7.2,-5.8,4.4,13.7,39.1,32.1,19.9,8.8,18.0,33.2,32.9,21.3
" ","Kilkenny"
" "," ","Population (Number)",99114,76493,60317,52965,48971,43468,40095,38551,37084,36489,35464,34687,33927,32252,31390,31828,35688,36395,37325,37447,38144,40540,44263,47788
" "," ","Population Change since previous Census (Number)",..,-22621,-16176,-7352,-3994,-5503,-3373,-1544,-1467,-595,-1025,-777,-760,-1675,-862,438,3860,707,930,122,697,2396,3723,3525
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-25.6,-23.5,-12.9,-7.8,-11.8,-8.0,-3.9,-2.6,-1.6,-2.8,-4.4,-4.4,-10.1,-5.4,2.8,14.4,9.9,5.1,0.7,3.7,10.2,22.2,15.4
" ","Laois"
" "," ","Population (Number)",76403,55556,45112,39843,36861,33171,29694,28711,27198,27149,26751,26154,25233,23989,23622,23805,26192,26774,27531,26904,27160,30131,34409,40587
" "," ","Population Change since previous Census (Number)",..,-20847,-10444,-5269,-2982,-3690,-3477,-983,-1513,-49,-398,-597,-921,-1244,-367,183,2387,582,757,-627,256,2971,4278,6178
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.4,-20.6,-12.3,-7.7,-10.5,-11.0,-3.4,-3.6,-0.2,-1.5,-4.5,-7.1,-10.1,-3.1,1.5,12.0,11.0,5.6,-4.6,1.9,17.5,33.7,33.6
" ","Longford"
" "," ","Population (Number)",57610,41041,36044,32512,30770,26681,23814,22656,20805,20152,19322,18388,17477,16133,15245,14891,16059,16234,16153,15542,15468,15794,17573,19649
" "," ","Population Change since previous Census (Number)",..,-16569,-4997,-3532,-1742,-4089,-2867,-1158,-1851,-653,-830,-934,-911,-1344,-888,-354,1168,175,-81,-611,-74,326,1779,2076
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-33.3,-12.9,-10.3,-5.5,-14.2,-11.3,-5.0,-5.7,-3.2,-4.2,-9.9,-10.1,-15.9,-11.3,-4.7,9.5,5.4,-1.0,-7.7,-1.0,3.5,27.0,22.6
" ","Louth"
" "," ","Population (Number)",62297,52257,44241,41033,37989,35242,32666,32191,31749,32829,33399,34886,34788,33627,34664,37511,43061,44125,45530,44823,45641,50489,55335,60763
" "," ","Population Change since previous Census (Number)",..,-10040,-8016,-3208,-3044,-2747,-2576,-475,-442,1080,570,1487,-98,-1161,1037,2847,5550,1064,1405,-707,818,4848,4846,5428
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-17.4,-16.5,-7.5,-7.7,-7.5,-7.6,-1.5,-0.9,3.4,1.7,8.7,-0.6,-6.8,6.1,15.9,17.4,12.3,6.3,-3.1,3.6,17.0,23.2,18.9
" ","Meath"
" "," ","Population (Number)",92494,70813,55800,48437,44315,39224,34757,33934,33082,32501,34950,34980,34830,33826,34877,36977,46704,48957,52931,53291,55340,67733,82651,91910
" "," ","Population Change since previous Census (Number)",..,-21681,-15013,-7363,-4122,-5091,-4467,-823,-852,-581,2449,30,-150,-1004,1051,2100,9727,2253,3974,360,2049,12393,14918,9259
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.4,-23.5,-14.1,-8.9,-12.1,-12.0,-2.4,-1.7,-1.8,7.3,0.2,-0.9,-5.8,6.1,11.8,29.6,23.8,15.7,1.4,7.6,34.3,51.0,21.5
" ","Offaly"
" "," ","Population (Number)",72651,55284,45513,38307,37106,33777,31065,29804,27566,27555,29311,28306,27591,27188,27007,27029,29792,30290,30819,29892,30003,32185,35937,38430
" "," ","Population Change since previous Census (Number)",..,-17367,-9771,-7206,-1201,-3329,-2712,-1261,-2238,-11,1756,-1005,-715,-403,-181,22,2763,498,529,-927,111,2182,3752,2493
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.9,-19.3,-17.1,-3.2,-9.4,-8.3,-4.1,-5.2,0.0,6.2,-7.0,-5.1,-2.9,-1.3,0.2,12.2,8.3,3.5,-6.1,0.7,11.8,28.0,13.5
" ","Westmeath"
" "," ","Population (Number)",70383,56095,46218,39804,36478,33927,31880,31910,30151,29039,29058,28737,28102,27183,27101,27544,30557,31388,32048,31006,31599,35960,39819,42783
" "," ","Population Change since previous Census (Number)",..,-14288,-9877,-6414,-3326,-2551,-2047,30,-1759,-1112,19,-321,-635,-919,-82,443,3013,831,660,-1042,593,4361,3859,2964
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-22.4,-19.2,-14.8,-8.7,-7.2,-6.2,0.1,-3.8,-3.8,0.1,-2.2,-4.5,-6.6,-0.6,3.2,13.1,13.5,4.2,-6.6,3.8,21.8,25.8,14.5
" ","Wexford"
" "," ","Population (Number)",97918,86938,69104,64199,60928,54935,51756,51568,48570,48577,46611,45945,44210,42128,42270,43768,48974,50336,51782,51444,52432,58170,66070,71909
" "," ","Population Change since previous Census (Number)",..,-10980,-17834,-4905,-3271,-5993,-3179,-188,-2998,7,-1966,-666,-1735,-2082,142,1498,5206,1362,1446,-338,988,5738,7900,5839
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-11.8,-22.7,-7.3,-5.2,-10.3,-5.9,-0.4,-4.0,0.0,-4.1,-2.9,-7.7,-9.6,0.7,7.0,14.1,13.8,5.7,-1.3,3.8,17.5,32.3,17.1
" ","Wicklow"
" "," ","Population (Number)",63489,50230,44122,39496,35101,31054,30584,31113,28911,29868,30152,31587,29933,29150,30231,33318,41969,43663,46980,48076,50823,56800,62905,67542
" "," ","Population Change since previous Census (Number)",..,-13259,-6108,-4626,-4395,-4047,-470,529,-2202,957,284,1435,-1654,-783,1081,3087,8651,1694,3317,1096,2747,5977,6105,4637
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.2,-12.9,-11.0,-11.7,-12.2,-1.5,1.7,-4.9,3.3,0.9,9.3,-10.7,-5.3,7.3,19.6,29.3,20.0,14.8,4.6,11.2,18.7,25.9,14.3
" ","Munster"
" "," ","Population (Number)",1186190,904979,744682,686106,659994,587611,540970,526130,493628,485412,467698,460365,446782,431292,436368,447271,497411,506857,514708,507095,518217,550118,589933,620260
" "," ","Population Change since previous Census (Number)",..,-281211,-160297,-58576,-26112,-72383,-46641,-14840,-32502,-8216,-17714,-7333,-13583,-15490,5076,10903,50140,9446,7851,-7613,11122,31901,39815,30327
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.7,-19.3,-8.2,-3.9,-11.5,-8.2,-2.8,-4.2,-1.7,-3.7,-3.2,-6.0,-7.0,2.3,4.9,13.4,9.5,3.1,-3.0,4.3,10.0,17.6,10.1
" ","Clare"
" "," ","Population (Number)",144109,103953,82541,73442,71058,63138,57386,53877,50071,47957,45350,43473,40868,38904,38667,39002,43945,45366,46913,46367,47789,52063,56048,58298
" "," ","Population Change since previous Census (Number)",..,-40156,-21412,-9099,-2384,-7920,-5752,-3509,-3806,-2114,-2607,-1877,-2605,-1964,-237,335,4943,1421,1547,-546,1422,4274,3985,2250
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.1,-22.8,-11.6,-3.3,-11.7,-9.5,-6.3,-4.9,-4.3,-5.6,-8.4,-12.3,-9.8,-1.2,1.7,15.0,16.0,6.7,-2.3,6.1,14.4,18.6,7.9
" ","Cork"
" "," ","Population (Number)",420551,318149,269637,256062,246044,219988,202297,197516,183192,179620,171110,170865,167952,164708,170010,176786,199146,202388,206470,204542,209177,222317,240814,257470
" "," ","Population Change since previous Census (Number)",..,-102402,-48512,-13575,-10018,-26056,-17691,-4781,-14324,-3572,-8510,-245,-2913,-3244,5302,6776,22360,3242,4082,-1928,4635,13140,18497,16656
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-27.5,-16.4,-5.2,-4.0,-11.1,-8.3,-2.4,-5.0,-2.0,-4.8,-0.3,-3.4,-3.9,6.4,7.8,15.0,8.1,4.0,-1.9,4.5,10.2,20.2,13.5
" ","Kerry"
" "," ","Population (Number)",147307,116511,99999,97913,101208,91017,84427,81474,76863,73503,70113,66507,63965,60838,58674,58404,62185,63492,63293,61932,63801,66572,70641,72629
" "," ","Population Change since previous Census (Number)",..,-30796,-16512,-2086,3295,-10191,-6590,-2953,-4611,-3360,-3390,-3606,-2542,-3127,-2164,-270,3781,1307,-199,-1361,1869,2771,4069,1988
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.2,-15.2,-2.1,3.3,-10.6,-7.5,-3.6,-3.9,-4.5,-4.7,-10.5,-7.8,-10.0,-7.2,-0.9,7.9,10.5,-0.6,-4.3,6.0,7.1,14.9,5.6
" ","Limerick"
" "," ","Population (Number)",161997,127387,105712,93112,88311,78607,72456,72229,71172,72407,72039,71691,69622,67173,69135,70786,79302,81595,82686,81094,82546,87631,92680,95815
" "," ","Population Change since previous Census (Number)",..,-34610,-21675,-12600,-4801,-9704,-6151,-227,-1057,1235,-368,-348,-2069,-2449,1962,1651,8516,2293,1091,-1592,1452,5085,5049,3135
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-23.7,-18.5,-12.6,-5.3,-11.6,-8.1,-0.3,-1.0,1.7,-0.5,-1.0,-5.8,-7.1,5.8,4.7,14.3,14.4,2.7,-3.9,3.6,10.0,14.1,6.7
" ","Tipperary"
" "," ","Population (Number)",216650,160024,122483,106499,98755,86807,81399,78584,72904,72397,70999,69866,67398,64141,63416,63523,68877,69503,69728,67422,67602,70863,75818,79584
" "," ","Population Change since previous Census (Number)",..,-56626,-37541,-15984,-7744,-11948,-5408,-2815,-5680,-507,-1398,-1133,-2468,-3257,-725,107,5354,626,225,-2306,180,3261,4955,3766
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-29.8,-26.4,-13.9,-7.5,-12.8,-6.4,-3.5,-5.0,-0.7,-1.9,-3.2,-7.2,-9.9,-2.3,0.3,10.2,4.5,0.6,-6.7,0.5,7.9,17.0,9.7
" ","North Tipperary"
" "," ","Population (Number)",100558,71049,53967,46405,42773,38172,34513,32341,31020,31406,30365,29989,29228,28088,28064,28190,30118,30247,30347,29355,29290,30864,33568,35340
" "," ","Population Change since previous Census (Number)",..,-29509,-17082,-7562,-3632,-4601,-3659,-2172,-1321,386,-1041,-376,-761,-1140,-24,126,1928,129,100,-992,-65,1574,2704,1772
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-34.1,-27.1,-15.0,-8.1,-11.3,-10.0,-6.5,-2.8,1.2,-3.4,-2.5,-5.1,-7.9,-0.2,0.9,8.3,2.1,0.7,-6.6,-0.4,8.8,21.2,10.3
" ","South Tipperary"
" "," ","Population (Number)",116092,88975,68516,60094,55982,48635,46886,46243,41884,40991,40634,39877,38170,36053,35352,35333,38759,39256,39381,38067,38312,39999,42250,44244
" "," ","Population Change since previous Census (Number)",..,-27117,-20459,-8422,-4112,-7347,-1749,-643,-4359,-893,-357,-757,-1707,-2117,-701,-19,3426,497,125,-1314,245,1687,2251,1994
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.3,-25.8,-13.0,-7.1,-14.0,-3.7,-1.4,-6.6,-2.2,-0.9,-3.8,-8.7,-11.3,-3.9,-0.1,11.6,6.4,0.6,-6.8,1.3,7.2,13.8,9.3
" ","Waterford"
" "," ","Population (Number)",95576,78955,64310,59078,54618,48054,43005,42450,39426,39528,38087,37963,36977,35528,36466,38770,43956,44513,45618,45738,47302,50672,53932,56464
" "," ","Population Change since previous Census (Number)",..,-16621,-14645,-5232,-4460,-6564,-5049,-555,-3024,102,-1441,-124,-986,-1449,938,2304,5186,557,1105,120,1564,3370,3260,2532
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-18.9,-20.3,-8.4,-7.8,-12.7,-11.0,-1.3,-4.9,0.3,-3.7,-0.7,-5.2,-8.0,5.2,12.3,15.8,6.3,4.9,0.5,6.7,11.5,15.7,9.2
" ","Connacht"
" "," ","Population (Number)",707842,495802,454035,418728,407021,362166,323667,312089,284453,276399,257794,248955,234558,219983,210097,203694,216176,218852,220094,214131,218387,233194,254450,271110
" "," ","Population Change since previous Census (Number)",..,-212040,-41767,-35307,-11707,-44855,-38499,-11578,-27636,-8054,-18605,-8839,-14397,-14575,-9886,-6403,12482,2676,1242,-5963,4256,14807,21256,16660
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-35.0,-8.8,-8.1,-2.8,-11.6,-11.2,-3.6,-6.2,-2.9,-6.9,-7.0,-11.8,-12.7,-9.2,-6.2,7.5,6.2,1.1,-5.5,3.9,11.0,22.0,12.8
" ","Galway"
" "," ","Population (Number)",219564,157135,134057,122496,120609,108283,97923,94403,88481,89170,87435,85141,82223,78993,77696,77842,86528,88330,90625,91005,94529,104367,116476,124758
" "," ","Population Change since previous Census (Number)",..,-62429,-23078,-11561,-1887,-12326,-10360,-3520,-5922,689,-1735,-2294,-2918,-3230,-1297,146,8686,1802,2295,380,3524,9838,12109,8282
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.9,-15.8,-9.0,-1.6,-10.7,-10.0,-3.7,-4.3,0.8,-2.0,-5.3,-7.0,-8.0,-3.3,0.4,13.3,10.4,5.1,0.8,7.6,16.6,27.8,13.8
" ","Leitrim"
" "," ","Population (Number)",77501,56111,52562,47724,45190,39715,35098,32759,29247,27337,24065,22374,19986,18031,16444,15269,14878,14699,14205,13203,13044,13324,14903,16144
" "," ","Population Change since previous Census (Number)",..,-21390,-3549,-4838,-2534,-5475,-4617,-2339,-3512,-1910,-3272,-1691,-2388,-1955,-1587,-1175,-391,-179,-494,-1002,-159,280,1579,1241
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-31.8,-6.5,-9.6,-5.4,-12.8,-12.3,-6.9,-7.5,-6.7,-12.7,-14.5,-22.3,-20.4,-18.3,-14.7,-3.2,-6.0,-6.8,-14.5,-2.4,3.5,28.4,16.1
" ","Mayo"
" "," ","Population (Number)",194198,133264,125636,120877,119421,107498,97564,96345,86778,83213,75073,73345,68879,63844,59829,56402,58489,58987,58729,55981,56371,59149,62636,65420
" "," ","Population Change since previous Census (Number)",..,-60934,-7628,-4759,-1456,-11923,-9934,-1219,-9567,-3565,-8140,-1728,-4466,-5035,-4015,-3427,2087,498,-258,-2748,390,2778,3487,2784
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-37.0,-5.9,-3.9,-1.2,-10.5,-9.6,-1.3,-6.9,-4.2,-10.2,-4.6,-12.5,-15.1,-12.9,-11.7,4.6,4.2,-0.9,-9.5,1.4,8.0,14.4,8.7
" ","Roscommon"
" "," ","Population (Number)",127016,86411,79841,70647,66657,58000,51233,48522,43281,41308,38845,36626,34078,31477,29782,28294,28475,28653,28351,26694,26695,27583,30178,32353
" "," ","Population Change since previous Census (Number)",..,-40605,-6570,-9194,-3990,-8657,-6767,-2711,-5241,-1973,-2463,-2219,-2548,-2601,-1695,-1488,181,178,-302,-1657,1,888,2595,2175
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-37.8,-7.9,-12.2,-5.8,-13.8,-12.3,-5.4,-7.6,-4.7,-6.1,-11.7,-14.3,-15.8,-11.0,-10.2,0.8,3.1,-2.1,-12.0,0.0,5.5,22.7,14.0
" ","Sligo"
" "," ","Population (Number)",89563,62881,61939,56984,55144,48670,41849,40060,36666,35371,32376,31469,29392,27638,26346,25887,27806,28183,28184,27248,27748,28771,30257,32435
" "," ","Population Change since previous Census (Number)",..,-26682,-942,-4955,-1840,-6474,-6821,-1789,-3394,-1295,-2995,-907,-2077,-1754,-1292,-459,1919,377,1,-936,500,1023,1486,2178
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-34.8,-1.5,-8.3,-3.3,-12.4,-15.0,-4.4,-5.9,-3.6,-8.8,-5.7,-13.6,-12.2,-9.5,-3.5,9.0,6.8,0.0,-6.7,3.6,6.1,12.7,14.0
" ","Ulster (part of)"
" "," ","Population (Number)",364706,280160,255320,232520,215385,190977,173639,168323,154908,147364,138403,133269,123135,113366,108319,107335,117176,118979,121152,118343,118959,124837,135468,147977
" "," ","Population Change since previous Census (Number)",..,-84546,-24840,-22800,-17135,-24408,-17338,-5316,-13415,-7544,-8961,-5134,-10134,-9769,-5047,-984,9841,1803,2173,-2809,616,5878,10631,12509
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-26.0,-9.2,-9.3,-7.6,-12.0,-9.5,-3.1,-5.5,-5.0,-6.3,-7.5,-15.7,-16.4,-9.1,-1.8,11.0,7.7,3.6,-4.7,1.0,8.1,20.6,17.8
" ","Cavan"
" "," ","Population (Number)",120814,86610,77503,70479,64637,56772,50087,47743,43550,41446,38121,36187,33177,30277,28803,27819,28302,28338,28202,27314,27281,29015,32915,37013
" "," ","Population Change since previous Census (Number)",..,-34204,-9107,-7024,-5842,-7865,-6685,-2344,-4193,-2104,-3325,-1934,-3010,-2900,-1474,-984,483,36,-136,-888,-33,1734,3900,4098
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-32.7,-11.0,-9.5,-8.6,-12.9,-12.5,-4.8,-6.1,-4.9,-8.3,-10.4,-17.2,-18.1,-9.9,-6.9,2.2,0.6,-1.0,-6.4,-0.2,10.3,32.0,23.7
" ","Donegal"
" "," ","Population (Number)",145821,124723,115875,106080,100671,91478,86444,84627,78100,73924,70269,67964,62664,58501,55606,55424,62629,63962,65906,64817,65520,69016,73970,80523
" "," ","Population Change since previous Census (Number)",..,-21098,-8848,-9795,-5409,-9193,-5034,-1817,-6527,-4176,-3655,-2305,-5300,-4163,-2895,-182,7205,1333,1944,-1089,703,3496,4954,6553
" "," ","Annual Rate of Population Increase (No. per 1000 Pop.)",..,-15.5,-7.3,-8.8,-5.2,-9.5,-5.6,-2.1,-5.3,-5.5,-5.1,-6.6,-16.1,-13.7,-10.1,-0.7,15.4,10.6,6.0,-3.3,2.2,8.7,17.5,17.1
" ","Monaghan"
" "," ","Population (Number)",98071,68827,61942,55961,50077,42727,37108,35953,33258,31994,30013,29118,27294,24588,23910,24092,26245,26679,27044,26212,26158,26806,28583,30441
